action_id,report_id,type,name,id,start,end
1087,17,watching channel,IB3,960,1.51024E+12,1.51024E+12
1088,17,watching channel,TVGE GALICIA,959,1.51024E+12,1.51024E+12
1089,17,watching channel,CANAL DEL CONGRESO,958,1.51024E+12,1.51024E+12
1090,17,watching channel,CANAL JUDICIAL,957,1.51024E+12,1.51024E+12
1091,17,watching channel,CANAL 10,956,1.51024E+12,1.51024E+12
1092,17,watching channel,CANAL 324,955,1.51024E+12,1.51024E+12
1093,17,watching channel,CANAL 10,956,1.51024E+12,1.51024E+12
1094,17,watching channel,CANAL 324,955,1.51024E+12,1.51024E+12
1095,17,watching channel,HISPAN TV,1226,1.51024E+12,1.51024E+12
1096,17,watching channel,LAOTRA,1225,1.51024E+12,1.51024E+12
1097,17,watching channel,RT ESPANOL,1224,1.51024E+12,1.51024E+12
1098,17,watching channel,NOVA,1223,1.51024E+12,1.51024E+12
1099,17,watching channel,ODISEA,954,1.51024E+12,1.51024E+12
1100,17,watching channel,DECASA,953,1.51024E+12,1.51024E+12
1101,17,watching channel,CANAL ACCION,952,1.51024E+12,1.51024E+12
1102,17,watching channel,CANAL COMEDIA,951,1.51024E+12,1.51024E+12
1103,17,watching channel,CANAL DEPORTES 2,950,1.51024E+12,1.51024E+12
1104,17,watching channel,CANAL DEPORTES 1,949,1.51024E+12,1.51024E+12
1105,17,watching channel,MOVIESTAR MOTOGP,947,1.51024E+12,1.51024E+12
1106,17,watching channel,TNT HD,946,1.51024E+12,1.51024E+12
1107,17,watching channel,CANAL LIGA HD,945,1.51024E+12,1.51024E+12
1108,17,watching channel,CANAL GOLF,944,1.51024E+12,1.51024E+12
1109,17,watching channel,CANAL TOROS,943,1.51024E+12,1.51024E+12
1110,17,watching channel,REAL MADRID TV,942,1.51024E+12,1.51024E+12
1111,17,watching channel,TVE 2 HD,941,1.51024E+12,1.51024E+12
1112,17,watching channel,BARCA TV,940,1.51024E+12,1.51024E+12
1113,17,watching channel,FOX SPAIN,939,1.51024E+12,1.51024E+12
1114,17,watching channel,TV3CAT,938,1.51024E+12,1.51024E+12
1115,17,watching channel,AXN,937,1.51024E+12,1.51024E+12
1116,17,watching channel,A&amp;E,936,1.51024E+12,1.51024E+12
1117,17,watching channel,HOLLYWOOD,935,1.51024E+12,1.51024E+12
1118,17,watching channel,A&amp;E,936,1.51024E+12,1.51024E+12
1119,17,watching channel,AXN,937,1.51024E+12,1.51024E+12
1120,17,watching channel,A&amp;E,936,1.51024E+12,1.51024E+12
1121,17,watching channel,HOLLYWOOD,935,1.51024E+12,1.51024E+12
1122,17,watching channel,LA SEXTA HD,934,1.51024E+12,1.51024E+12
1123,17,watching channel,HISTORY,933,1.51024E+12,1.51024E+12
1124,17,watching channel,NATIONAL GEOGRAPHIC ,932,1.51024E+12,1.51024E+12
1125,17,watching channel,DISNEY watching channel,931,1.51024E+12,1.51024E+12
1126,17,watching channel,TBMM,930,1.51024E+12,1.51024E+12
1127,17,watching channel,VUSLAT TV,925,1.51024E+12,1.51024E+12
1128,17,watching channel,MELTEM TV,924,1.51024E+12,1.51024E+12
1129,17,watching channel,FANATIK,923,1.51024E+12,1.51024E+12
1130,17,watching channel,SEMERKAND,919,1.51024E+12,1.51024E+12
1131,17,watching channel,BURSASPOR TV,918,1.51024E+12,1.51024E+12
1132,17,watching channel,LIDER TV,917,1.51024E+12,1.51024E+12
1133,17,watching channel,YASIN TV,916,1.51024E+12,1.51024E+12
