"report_id","user_id","date","device","ui","version","client","cms","crm","city","state","country","network_speed","network_latency"
"52","1000762","1510264800","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Kansas City","MO","United States","0.00","0.00"
"53","100000030","-7200","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","Netcom","USA","Netcom","Pensacola","FL","United States","0.00","0.00"
"54","1000005","1510178400","_WebTV [local]",,,"NGC","NGC","FastTV","Erbil","AR","Iraq","0.00","0.00"
"55","1000628","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Decatur","GA","United States","0.00","0.00"
"56","1000115","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"57","1000332","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Panama City Beach","FL","United States","0.00","0.00"
"58","1000312","1332968400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Oslo","03","Norway","0.00","0.00"
"59","1000128","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Hendon","ENG","United Kingdom","0.00","0.00"
"60","1000839","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Shakopee","MN","United States","0.00","0.00"
"61","1000601","1510092000","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"62","1000006","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","Optimum","Optimum","Optimum_TV","Willemstad",,"Curaçao","0.00","0.00"
"63","1000084","1510264800","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","ColourIPTV","Colour","ColourIPTV","Spijkenisse","ZH","Netherlands","0.00","0.00"
"64","1000005","1510264800","_WebTV [local]",,,"NGC","NGC","FastTV","Erbil","AR","Iraq","0.00","0.00"
"65","1000010","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"66","1000660","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"67","1000011","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Jeddah","02","Saudi Arabia","0.00","0.00"
"68","100000045","1510178400","_TelergyHD_Android [thd709qc]","Honua","v1.22.0","Netcom","USA","Netcom","Gulf Breeze","FL","United States","0.00","0.00"
"69","1000015","1510264800","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Girraween","NSW","Australia","0.00","0.00"
"70","1000191","1510178400","_TelergyHD_Android [thd603qc]",,,"Totalfone","IPTV_01","Totalfone","Willemstad",,"Curaçao","0.00","0.00"
"71","1000037","1510178400","_TelergyHD_Android [thd603qc]","Honua","v1.22.0","RegalHD","KOOI","KOOI01","Sugar Land","TX","United States","0.00","0.00"
"72","1000103","1510178400","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Sterling Heights","MI","United States","0.00","0.00"
"73","1000006","1510178400","_TelergyHD_Android [thd603qc]",,,"RegalHD","KOOI","KOOI01","Gieres","ARA","France","0.00","0.00"
"74","100000084","1510092000","_WebTV [local]",,,"Totalfone","IPTV_01","Totalfone","Spijkenisse","ZH","Netherlands","0.00","0.00"
"75","1000006","1510092000","_TelergyHD_Android [thd603qc]","Akua","v1.22.0","RegalHD","KOOI","KOOI01","Saint Charles","IL","United States","0.00","0.00"
